interstellar,1
the-village,0.999563
timecop,0.999484
the-one,0.999186
natural-born-killers,0.998767
alien-abduction,0.998453
23-blast,0.997486
a-mighty-wind,0.997471
my-big-fat-greek-wedding-2,0.996054
exorcist-the-beginning,0.996045
zombeavers,0.995987
jaws,0.995301
minority-report,0.995137
philadelphia,0.99501
summer-of-sam,0.994573
the-railway-man,0.994355
charlie-and-the-chocolate-factory,0.994132
moulin-rouge!,0.993208
all-the-real-girls,0.993164
unleashed,0.991589
the-adjustment-bureau,0.991074
boogeyman,0.990245
something-new,0.989975
take-the-lead,0.989897
the-abcs-of-death,0.988902
talladega-nights-the-ballad-of-ricky-bobby,0.986996
the-goonies,0.986146
far-from-heaven,0.986019
chronicle-2012,0.985023
the-purge-anarchy,0.982253
letters-from-iwo-jima,0.980787
mission-impossible-ii,0.980377
the-italian-job,0.980219
the-guilt-trip,0.978663
being-john-malkovich,0.978435
we-are-the-best!,0.976238
varsity-blues,0.976014
the-simpsons-movie,0.975433
celebrity,0.974403
solaris,0.973684
the-spongebob-squarepants-movie,0.972852
the-city-of-lost-children,0.972816
unbroken,0.972287
van-wilder,0.97211
ready-to-rumble,0.970365
raiders!-the-story-of-the-greatest-fan-film-ever-made,0.968373
abraham-lincoln-vampire-hunter,0.967485
seed-of-chucky,0.966175
justin-biebers-believe,0.965984
the-thirteenth-floor,0.965889
